url,clicks,impressions,ctr,position
https://claude-codex.fr/en/prompting/templates,0,35,0 %,"10,5"
https://claude-codex.fr/en/plugins/setup,0,31,0 %,"6,5"
https://claude-codex.fr/en/mcp/advanced-protocol/,0,30,0 %,"9,2"
https://claude-codex.fr/en/prompting/context-management/,0,29,0 %,"7,2"
https://claude-codex.fr/fr/agents/what-are-agents/,0,22,0 %,"8,4"
https://claude-codex.fr/en/reference/voice-mode,0,21,0 %,"9,1"
https://claude-codex.fr/en/skills/comparison/,0,20,0 %,"7,6"
https://claude-codex.fr/en/agents/agent-sdk/,0,20,0 %,"8,0"
https://claude-codex.fr/en/content/,0,18,0 %,"7,5"
https://claude-codex.fr/en/plugins/best-design/,0,18,0 %,"8,8"
https://claude-codex.fr/en/reference/voice-mode/,0,17,0 %,"8,4"
https://claude-codex.fr/fr/reference/environment/,0,15,0 %,"7,3"
https://claude-codex.fr/en/plugins/best-design,0,15,0 %,"7,5"
https://claude-codex.fr/fr/limits/when-not-to-use/,0,14,0 %,"7,6"
https://claude-codex.fr/fr/reference/,0,14,0 %,"8,1"
https://claude-codex.fr/fr/configurator/,0,13,0 %,"10,3"
https://claude-codex.fr/en/plugins/best-essential/,0,12,0 %,"9,1"
https://claude-codex.fr/en/plugins/setup/,0,12,0 %,"10,1"
https://claude-codex.fr/en/plugins,0,12,0 %,"14,3"
https://claude-codex.fr/en,0,10,0 %,"7,4"
https://claude-codex.fr/fr/skills/,0,10,0 %,"7,4"
https://claude-codex.fr/en/use-cases/,0,9,0 %,"17,1"
https://claude-codex.fr/content,0,8,0 %,"7,6"
https://claude-codex.fr/fr/content/,0,7,0 %,"6,4"
https://claude-codex.fr/en/advanced/ultraplan/,0,7,0 %,"7,3"
https://claude-codex.fr/en/configurator,0,7,0 %,"8,3"
https://claude-codex.fr/fr/prompting/power-tips/,0,6,0 %,"6,8"
https://claude-codex.fr/fr/agents/agent-teams/,0,6,0 %,"8,2"
https://claude-codex.fr/en/plugins/best-essential,0,5,0 %,"5,8"
https://claude-codex.fr/en/configurator/,0,5,0 %,"7,6"
https://claude-codex.fr/prompting/thinking-and-planning,0,5,0 %,"7,8"
https://claude-codex.fr/fr/use-cases/,0,5,0 %,"10,0"
https://claude-codex.fr/en/plugins/,0,4,0 %,"6,8"
https://claude-codex.fr/fr/plugins/best-design/,0,4,0 %,"6,8"
https://claude-codex.fr/en/future/,0,4,0 %,"7,0"
https://claude-codex.fr/fr/skills/what-are-skills/,0,4,0 %,"7,5"
https://claude-codex.fr/en/agents/what-are-agents,0,4,0 %,"7,8"
https://claude-codex.fr/fr/enterprise/tco-calculator/,0,4,0 %,"7,8"
https://claude-codex.fr/en/agents/background-agents/,0,4,0 %,"9,2"
https://claude-codex.fr/en/mcp/best-productivity/,0,3,0 %,"8,3"
https://claude-codex.fr/fr/agents/,0,3,0 %,"8,3"
https://claude-codex.fr/en/skills/best-skills/,0,3,0 %,"13,3"
https://claude-codex.fr/en/agents/best-agents/,0,2,0 %,"2,0"
https://claude-codex.fr/en/agents/performance-limits/,0,2,0 %,"3,0"
https://claude-codex.fr/en/skills/,0,2,0 %,"3,0"
https://claude-codex.fr/fr/prompting/templates/,0,2,0 %,"4,0"
https://claude-codex.fr/fr/plugins/,0,2,0 %,"6,5"
https://claude-codex.fr/fr/plugins/setup/,0,2,0 %,"8,0"
https://claude-codex.fr/en/skills/create-custom/,0,2,0 %,"8,5"
https://claude-codex.fr/fr/reference/cheatsheet/,0,2,0 %,"9,0"
https://claude-codex.fr/en/mcp/create-mcp-python/,0,1,0 %,"2,0"
https://claude-codex.fr/en/agents/create-subagent/,0,1,0 %,"3,0"
https://claude-codex.fr/en/agents/agent-teams/,0,1,0 %,"4,0"
https://claude-codex.fr/en/plugins/what-are-plugins,0,1,0 %,"5,0"
https://claude-codex.fr/en/prompting/mistakes,0,1,0 %,"5,0"
https://claude-codex.fr/fr/plugins/what-are-plugins/,0,1,0 %,"5,0"
https://claude-codex.fr/fr/use-cases/business/,0,1,0 %,"5,0"
https://claude-codex.fr/en/plugins/what-are-plugins/,0,1,0 %,"7,0"
https://claude-codex.fr/fr/agents/best-agents/,0,1,0 %,"7,0"
https://claude-codex.fr/fr/prompting/basics,0,1,0 %,"8,0"
https://claude-codex.fr/en/content/future-vision/,0,1,0 %,"9,0"
https://claude-codex.fr/en/prompting/directives,0,1,0 %,"11,0"
